libsoup3 3.4.4-1
libsoxr 0.1.3-3
libspectre 0.2.12-1
libspiro 1:20221101-2
libssh 0.10.6-2
libssh2 1.11.0-1
libstaroffice 0.0.7-2
libstemmer 2.2.0-2
libsysprof-capture 45.2-1
libtar 1.2.20-7
libtasn1 4.19.0-1
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.6.0-2
libtirpc 1.3.4-1
libtommath 1.2.1-1
libtool 2.4.7+4+g1ec8fa28-7
libtorrent-rasterbar 1:2.0.9-3
libtraceevent 1:1.8.2-1
libtracefs 1.8.0-1
libunibreak 6.1-1
libunistring 1.1-2
libunwind 1.7.2-1
libupnp 1.14.18-1
liburcu 0.14.0-1
libusb 1.0.27-1
libusbmuxd 2.0.2-3
libutempter 1.2.1-4
libutf8proc 2.9.0-1
libuv 1.48.0-1
libva 2.20.0-1
libva-nvidia-driver 0.0.11-1
libvdpau 1.5-2
libverto 0.3.2-4
libvisio 0.1.7-10
libvorbis 1.3.7-3
libvpl 2.10.2-1
libvpx 1.14.0-1
libwacom 2.10.0-1
libwbclient 4.19.5-1
libwebp 1.3.2-1
libwireplumber 0.4.17-1
libwmf 0.2.13-1
libwpd 0.10.3-4
libwpg 0.3.4-1
libwps 0.4.14-1
libx11 1.8.7-1
libxau 1.0.11-2
libxaw 1.0.15-1
libxcb 1.16.1-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcrypt-compat 4.4.36-1
libxcursor 1.2.2-1
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.6.0-1
libxkbcommon-x11 1.6.0-1
libxkbfile 1.1.3-1
libxml2 2.12.5-1
libxmlb 0.3.15-1
libxmu 1.1.4-1
libxpm 3.5.17-1
libxpresent 1.0.1-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.39-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
libzip 1.10.1-1
libzmf 0.0.2-15
licenses 20240206-1
lilv 0.24.24-1
linux 6.7.8.arch1-1
linux-api-headers 6.7-1
linux-firmware 20240220.97b693d2-1
linux-firmware-whence 20240220.97b693d2-1
lld 16.0.6-1
lldb 16.0.6-1
llvm 16.0.6-1
llvm-libs 16.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.32-1
lpsolve 5.5.2.11-2
lsb-release 2.0.r53.a86f885-1
lsof 4.99.3-1
ltrace 0.7.3-4
lua 5.4.6-3
lua52 5.2.4-6
luajit 2.1.1702233742-1
lv2 1.18.10-1
lvm2 2.03.23-3
lz4 1:1.9.4-2
lzo 2.10-5
m17n-db 1.8.5-1
m17n-lib 1.8.4-2
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
man-db 2.12.0-1
man-pages 6.06-2
maven 3.8.7-1
mc 4.8.31-2
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 24-2
mercurial 6.6.3-1
mesa 1:24.0.2-1
milou 6.0.1-1
minizip 1:1.3.1-1
minizip-ng 4.0.5-1
mkinitcpio 38-4
mkinitcpio-busybox 1.36.1-1
mlocate 0.26.git.20170220-7
mlt 7.22.0-3
mpfr 4.2.1-2
mpg123 1.32.5-1
mpv 1:0.37.0-2
mtdev 1.1.6-2
mujs 1.3.4-1
mypaint-brushes1 1.3.1-1
nasm 2.16.01-1
ncurses 6.4_20230520-1
ndctl 78-1
neon 0.33.0-1
net-snmp 5.9.2-2
net-tools 2.10-2
nettle 3.9.1-1
nftables 1:1.0.9-1
ninja 1.11.1-3
nmap 7.94-2
node-gyp 10.0.1-1
nodejs 21.7.0-1
nodejs-nopt 7.2.0-1
noto-fonts 1:24.3.1-1
noto-fonts-cjk 20230817-1
noto-fonts-emoji 1:2.042-1
noto-fonts-extra 1:24.3.1-1
npm 10.5.0-1
npth 1.7-1
nspr 4.35-2
nss 3.98-1
nss-mdns 0.15.1-1
numactl 2.0.18-1
nvidia 550.54.14-4
nvidia-utils 550.54.14-4
ocean-sound-theme 6.0.1-1
ocl-icd 2.3.2-1
octave 8.4.0-3
okteta 1:0.26.15-1
okular 24.02.0-2
oniguruma 6.9.9-1
openal 1.23.1-1
openbsd-netcat 1.226_1-2
opencolorio 2.3.1-2
opencore-amr 0.1.6-1
openexr 3.2.2-1
openjpeg2 2.5.2-1
openmpi 5.0.2-6
openpmix 4.2.9-1
openssh 9.6p1-3
openssl 3.2.1-1
openucx 1.15.0-2
opus 1.5.1-1
orc 0.4.38-1
oxygen-sounds 6.0.1-1
p11-kit 0.25.3-1
p8-platform 2.1.0.1-4
pacman 6.0.2-9
pacman-mirrorlist 20231001-1
pam 1.6.0-4
pambase 20230918-1
pango 1:1.52.0-1
pangomm 2.46.4-1
parallel 20240122-1
parted 3.6-1
patch 2.7.6-10
pciutils 3.11.1-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.3-1
perf 6.7-1
perl 5.38.2-1
perl-error 0.17029-5
perl-ipc-run3 0.049-1
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt5 4.12.0-4
phonon-qt5-gstreamer 4.10.0-4
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.2.1-3
piper 0.7-2
pipewire 1:1.0.3-1
pipewire-audio 1:1.0.3-1
pipewire-jack 1:1.0.3-1
pipewire-pulse 1:1.0.3-1
pixman 0.43.4-1
pkgconf 2.1.0-2
plasma-activities 6.0.1-1
plasma-activities-stats 6.0.1-1
plasma-desktop 6.0.1-1
plasma-framework5 5.115.0-3
plasma-integration 6.0.1-2
plasma-pa 6.0.1-1
plasma-workspace 6.0.1-1
plasma5support 6.0.1-1
polkit 124-2
polkit-kde-agent 6.0.1-1
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 24.01.0-1
poppler-data 0.4.12-1
poppler-glib 24.01.0-1
poppler-qt5 24.01.0-1
poppler-qt6 24.01.0-1
popt 1.19-1
portaudio 1:19.7.0-2
potrace 1.16-2
powerdevil 6.0.1-1
prismlauncher 8.2-1
prison 6.0.0-1
prison5 5.115.0-1
procps-ng 4.0.4-2
protobuf 25.3-1
protobuf-c 1.5.0-1
prrte 3.0.4-3
psmisc 23.7-1
psutils 2.10-1
purpose 6.0.0-1
purpose5 5.115.0-3
pystring 1.1.4-1
python 3.11.8-1
python-appdirs 1.4.4-9
python-babel 2.12.1-2
python-bcrypt 4.1.2-1
python-beautifulsoup4 4.12.2-1
python-cachecontrol 1:0.14.0-2
python-cairo 1.26.0-1
python-certifi 2024.02.02-1
python-cffi 1.16.0-1
python-chardet 5.2.0-1
python-charset-normalizer 3.3.2-1
python-configobj 5.0.8-4
python-contourpy 1.2.0-1
python-coverage 7.4.1-1
python-cryptography 41.0.7-1
python-cssselect 1.2.0-3
python-cycler 0.12.1-1
python-dateutil 2.9.0-2
python-docutils 1:0.20.1-1
python-dulwich 0.21.7-1
python-evdev 1.6.1-2
python-fastbencode 0.2-2
python-filelock 3.13.1-1
python-fonttools 4.49.0-1
python-gmpy2 2.1.5-2
python-gobject 3.46.0-1
python-idna 3.6-1
python-imagesize 1.4.1-4
python-jinja 1:3.1.3-1
python-kiwisolver 1.4.5-1
python-lockfile 0.12.2-12
python-lxml 4.9.2-3
python-markupsafe 2.1.4-1
python-matplotlib 3.8.2-1
python-merge3 0.0.14-2
python-mpmath 1.3.0-2
python-msgpack 1.0.5-1
python-numpy 1.26.4-1
python-packaging 23.2-1
python-paramiko 2.11.1-4
python-patiencediff 0.2.14-2
python-pillow 10.2.0-2
python-platformdirs 4.1.0-1
python-ply 3.11-12
python-pooch 1.8.1-1
python-protobuf 25.3-1
python-pycparser 2.21-5
python-pygments 2.17.2-1
python-pynacl 1.4.0-7
python-pyparsing 3.1.1-1
python-pyserial 3.5-5
python-pytz 2024.1-1
python-requests 2.31.0-1
python-resolvelib 1.0.1-1
python-scipy 1.12.0-1
python-six 1.16.0-8
python-snowballstemmer 2.2.0-5
python-soupsieve 2.5-1
python-sphinx 7.2.6-1
python-sphinx-alabaster-theme 0.7.16-1
python-sphinxcontrib-applehelp 1.0.8-1
python-sphinxcontrib-devhelp 1.0.6-1
python-sphinxcontrib-htmlhelp 2.0.5-1
python-sphinxcontrib-jsmath 1.0.1-15
python-sphinxcontrib-qthelp 1.0.7-1
python-sphinxcontrib-serializinghtml 1.1.10-1
python-sympy 1.12-2
python-typing_extensions 4.10.0-1
python-urllib3 1.26.18-1
python-yaml 6.0.1-2
python-zstandard 0.22.0-1
qbittorrent 4.6.3-1
qca-qt5 2.3.8-2
qca-qt6 2.3.8-2
qhull 2020.2-4
qpdf 11.9.0-1
qpwgraph 0.6.2-1
qqc2-breeze-style 6.0.1-1
qqc2-desktop-style 6.0.0-1
qqc2-desktop-style5 5.115.0-1
qrencode 4.1.1-2
qrupdate 1.1.5-1
qscintilla-qt5 2.14.1-1
qt5-base 5.15.12+kde+r151-1
qt5-declarative 5.15.12+kde+r32-1
qt5-graphicaleffects 5.15.12-1
qt5-location 5.15.12+kde+r6-1
qt5-multimedia 5.15.12+kde+r2-1
qt5-networkauth 5.15.12-1
